subject,model_name,eval_index,image_id,positive_similarity,hardest_impostor_similarity,hardest_impostor_index,margin,full_pool_rank,sampled_top1_success_rate,sampled_rank_mean,sampled_rank_median,delta_positive_similarity,delta_hardest_impostor_similarity,delta_margin,delta_full_pool_rank,delta_sampled_top1_success_rate,rank1_to_not1,not1_to_rank1
7,cycle44_subj07_margin_low_1sess_150ep,469,35743,0.048663698,0.053425997,567,-0.0047622994,4.0,0.25,2.0833333333333335,2.0,-0.003441289,-0.0015817173,-0.0018595718,1.0,-0.16666666666666669,0,0
7,cycle44_subj07_margin_low_1sess_150ep,470,35752,0.03919262,0.04546144,827,-0.006268818,6.0,0.2857142857142857,2.142857142857143,2.0,-0.0039361157,-0.0018136129,-0.0021225028,1.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,471,35790,0.046340052,0.05452548,567,-0.008185428,12.0,0.0,4.923076923076923,5.0,0.00087216496,-0.0020957477,0.0029679127,-9.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,472,35798,0.040285114,0.043269344,250,-0.0029842295,6.0,0.3333333333333333,2.0,2.0,-0.004449036,-0.0030844659,-0.0013645701,4.0,-0.4444444444444445,0,0
7,cycle44_subj07_margin_low_1sess_150ep,473,35986,0.052272644,0.047106445,327,0.005166199,1.0,1.0,1.0,1.0,0.0007031113,0.0004416965,0.0002614148,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,474,36067,0.044703975,0.041950762,947,0.002753213,1.0,1.0,1.0,1.0,-0.0045393184,-0.0010194518,-0.0035198666,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,475,36258,0.055313233,0.05041141,677,0.0049018227,1.0,1.0,1.0,1.0,-0.0027698018,-0.008563813,0.005794011,-1.0,0.30000000000000004,0,1
7,cycle44_subj07_margin_low_1sess_150ep,476,36476,0.047472715,0.057032138,567,-0.009559423,12.0,0.0,4.333333333333333,4.0,0.0022941418,-0.001730036,0.004024178,-29.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,477,36569,0.045621622,0.06270462,567,-0.017083,22.0,0.0,6.125,6.0,0.0003566444,-0.00069238245,0.0010490268,-10.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,478,36576,0.034274153,0.041346382,441,-0.007072229,5.0,0.2,1.9,2.0,-0.00428693,-0.006716687,0.0024297573,-1.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,479,36623,0.055283874,0.05604298,2,-0.00075910613,2.0,0.6666666666666666,1.3333333333333333,1.0,-0.0036960654,-0.00053510815,-0.0031609572,1.0,-0.33333333333333337,1,0
7,cycle44_subj07_margin_low_1sess_150ep,480,36629,0.06392649,0.04820406,662,0.015722428,1.0,1.0,1.0,1.0,0.0023472495,-0.0058534034,0.008200653,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,481,36682,0.049502462,0.052810684,567,-0.0033082217,2.0,0.75,1.25,1.0,-0.0062678754,0.00023890659,-0.006506782,1.0,-0.25,1,0
7,cycle44_subj07_margin_low_1sess_150ep,482,36731,0.06015412,0.04470083,631,0.01545329,1.0,1.0,1.0,1.0,5.0790608e-05,-0.005224578,0.0052753687,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,483,36759,0.04515978,0.054283917,916,-0.009124137,6.0,0.45454545454545453,2.090909090909091,2.0,-0.0025962777,0.0057896413,-0.008385919,2.0,-0.09090909090909088,0,0
7,cycle44_subj07_margin_low_1sess_150ep,484,36910,0.067858145,0.04810123,231,0.019756913,1.0,1.0,1.0,1.0,0.0011629462,-0.0027024932,0.0038654394,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,485,36945,0.036236335,0.041849863,985,-0.005613528,12.0,0.09090909090909091,4.7272727272727275,5.0,0.00089395046,-0.0045718066,0.005465757,0.0,0.09090909090909091,0,0
7,cycle44_subj07_margin_low_1sess_150ep,486,36974,0.043047804,0.048124958,208,-0.0050771534,4.0,0.36363636363636365,2.0,2.0,-0.004844822,0.0038196184,-0.00866444,3.0,-0.6363636363636364,1,0
7,cycle44_subj07_margin_low_1sess_150ep,487,36978,0.0561402,0.048859183,139,0.0072810166,1.0,1.0,1.0,1.0,6.4596534e-05,-0.0070829615,0.007147558,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,488,37059,0.02925522,0.037507143,554,-0.008251922,7.0,0.125,3.375,3.0,-0.0044331644,0.00090039894,-0.0053335633,0.0,0.125,0,0
7,cycle44_subj07_margin_low_1sess_150ep,489,37221,0.03770131,0.04382338,894,-0.0061220713,6.0,0.0,3.0,3.0,-0.001811929,-0.005168408,0.003356479,2.0,-0.25,0,0
7,cycle44_subj07_margin_low_1sess_150ep,490,37224,0.06543237,0.049320094,536,0.016112275,1.0,1.0,1.0,1.0,-0.0031221583,-0.0047506876,0.0016285293,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,491,37436,0.024486672,0.03527523,554,-0.010788556,26.0,0.0,7.375,8.0,-0.0031236205,-0.003155619,3.199838e-05,6.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,492,37494,0.054375257,0.042355962,967,0.012019295,1.0,1.0,1.0,1.0,-0.0045166574,-0.0043329075,-0.00018374994,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,493,37608,0.06378667,0.052020177,516,0.011766493,1.0,1.0,1.0,1.0,-0.0011287034,0.0013159178,-0.0024446212,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,494,37736,0.04446704,0.05830838,208,-0.013841342,10.0,0.0,4.3,4.0,-0.0056682676,0.001616206,-0.0072844736,6.0,-0.3,0,0
7,cycle44_subj07_margin_low_1sess_150ep,495,37801,0.051544953,0.045513216,689,0.0060317367,1.0,1.0,1.0,1.0,-0.0024935193,-0.0032981746,0.00080465525,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,496,37927,0.031877868,0.036851004,380,-0.004973136,9.0,0.09090909090909091,3.1818181818181817,3.0,-0.0006874129,-0.0050305277,0.004343115,-8.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,497,38022,0.055541355,0.053574517,300,0.0019668378,1.0,1.0,1.0,1.0,0.0017636344,0.004346397,-0.0025827624,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,498,38025,0.034777846,0.050749402,777,-0.015971556,99.0,0.0,29.0,30.0,0.001328323,-0.0045647733,0.0058930963,-21.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,499,38060,0.068354644,0.06128528,875,0.007069364,1.0,1.0,1.0,1.0,0.004723005,0.00013925135,0.0045837536,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,500,38246,0.061489396,0.06506143,567,-0.0035720319,2.0,0.8,1.2,1.0,0.0034665726,0.0029829778,0.00048359483,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,501,38278,0.036105342,0.047011573,314,-0.010906231,17.0,0.0,6.0,6.0,-0.0059738904,-0.0023560263,-0.003617864,10.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,502,38297,0.040702857,0.041014392,886,-0.00031153485,2.0,0.7272727272727273,1.2727272727272727,1.0,-0.0036143325,-0.00091732666,-0.0026970059,1.0,-0.2727272727272727,1,0
7,cycle44_subj07_margin_low_1sess_150ep,503,38310,0.04877308,0.053081002,484,-0.004307922,5.0,0.2222222222222222,2.0,2.0,-0.0015275665,-0.0060815513,0.004553985,-1.0,0.1111111111111111,0,0
7,cycle44_subj07_margin_low_1sess_150ep,504,38358,0.042132337,0.04728017,11,-0.0051478334,8.0,0.1,3.3,3.5,-0.00021465868,-0.0014164038,0.0012017451,-3.0,0.1,0,0
7,cycle44_subj07_margin_low_1sess_150ep,505,38483,0.04612485,0.049666345,852,-0.0035414957,3.0,0.6666666666666666,1.3333333333333333,1.0,-0.0054795556,-0.0005971305,-0.004882425,2.0,-0.33333333333333337,1,0
7,cycle44_subj07_margin_low_1sess_150ep,506,38486,0.0440657,0.048782505,208,-0.004716806,3.0,0.6,1.7,1.0,0.00072556734,-0.0006661825,0.0013917498,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,507,38494,0.060964715,0.05108047,756,0.009884246,1.0,1.0,1.0,1.0,-0.003527712,-0.0027537793,-0.0007739328,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,508,38641,0.046191543,0.038738973,630,0.00745257,1.0,1.0,1.0,1.0,-0.003765788,-0.0030384548,-0.0007273331,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,509,38794,0.05438426,0.05079707,85,0.00358719,1.0,1.0,1.0,1.0,-0.0021384358,-0.004196912,0.0020584762,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,510,38817,0.057584133,0.0479667,828,0.009617433,1.0,1.0,1.0,1.0,-0.002789989,-0.0043530986,0.0015631095,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,511,38829,0.04121084,0.050908595,828,-0.009697754,15.0,0.0,4.222222222222222,5.0,-0.00609912,-0.0031546317,-0.002944488,4.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,512,38853,0.043457538,0.049329598,137,-0.0058720596,3.0,0.42857142857142855,1.7142857142857142,2.0,-0.007463731,-0.00020360202,-0.007260129,2.0,-0.5714285714285714,1,0
7,cycle44_subj07_margin_low_1sess_150ep,513,38978,0.050224215,0.043882295,372,0.0063419193,1.0,1.0,1.0,1.0,-0.0015855692,-0.00068631023,-0.000899259,0.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,514,39047,0.04974284,0.056848247,567,-0.0071054064,4.0,0.16666666666666666,2.0,2.0,0.0022551864,0.0013618357,0.0008933507,-3.0,0.0,0,0
7,cycle44_subj07_margin_low_1sess_150ep,515,39058,0.042423494,0.054820567,490,-0.012397073,12.0,0.0,4.666666666666667,4.0,-0.0019487664,-0.0020220391,7.3272735e-05,1.0,0.0,0,0
