subject,eval_index,nsd_image_id,prior0_image_rank,prior_low_image_rank,image_rank_delta_prior_low_minus_prior0,prior0_brain_rank,prior_low_brain_rank,brain_rank_delta_prior_low_minus_prior0,image_score_delta_prior_low_minus_prior0,brain_score_delta_prior_low_minus_prior0,flat_norm_delta_prior_low_minus_prior0,mean_token_norm_delta_prior_low_minus_prior0,brain_margin_hardest_delta_prior_low_minus_prior0,image_margin_hardest_delta_prior_low_minus_prior0,brain_margin_top5_delta_prior_low_minus_prior0,image_margin_top5_delta_prior_low_minus_prior0,blurry_pixcorr_prior0,blurry_pixcorr_prior_low,blurry_pixcorr_delta_prior_low_minus_prior0,recons_pixcorr_prior0,recons_pixcorr_prior_low,recons_pixcorr_delta_prior_low_minus_prior0,enhanced_pixcorr_prior0,enhanced_pixcorr_prior_low,enhanced_pixcorr_delta_prior_low_minus_prior0,enhanced_evalmix_pixcorr_prior0,enhanced_evalmix_pixcorr_prior_low,enhanced_evalmix_pixcorr_delta_prior_low_minus_prior0
7,581,43428,1.0,77.0,76.0,1.0,1.0,0.0,-0.00035887212,-0.00035887212,-61.555084,-2.7378826,-0.007678237,-0.038395,-0.010312948,-0.0395915,0.4961797,0.49257576,-0.0036039352,0.13915412,0.39305225,0.25389814,0.14810592,0.39731434,0.24920842,0.19984227,0.4393273,0.23948503
7,582,43429,12.0,624.0,612.0,9.0,16.0,7.0,0.0032764226,0.0032764226,7.222046,1.2104378,0.0036286972,-0.042798594,0.002392523,-0.036549024,0.50301933,0.57551116,0.072491825,0.038365528,0.41186985,0.37350434,0.030580297,0.40913045,0.37855017,0.09702179,0.46060774,0.36358595
7,583,43445,1.0,37.0,36.0,1.0,1.0,0.0,-0.0045462027,-0.0045462027,-55.818512,-2.4719906,-0.011089977,-0.044707995,-0.012491517,-0.0466498,-0.11259649,-0.1356848,-0.023088314,0.32695267,0.26735827,-0.059594393,0.32431588,0.26190916,-0.06240672,0.3103845,0.24702385,-0.06336066
7,584,43465,2.0,2.0,0.0,1.0,4.0,3.0,0.03844697,0.03844697,-22.33545,-0.4417343,-0.004298892,0.008747041,-0.0038771816,-0.00015863776,0.30771008,0.28751522,-0.020194858,0.17689379,0.17961475,0.002720967,0.18838903,0.18586978,-0.00251925,0.2146694,0.20660733,-0.00806208
7,585,43500,3.0,196.0,193.0,1.0,1.0,0.0,0.011614647,0.011614647,4.1029053,1.0877094,-0.0033788085,-0.029835965,-0.004279513,-0.027378637,0.27216867,0.30504662,0.03287795,0.26597068,0.28326133,0.017290652,0.23846379,0.23864947,0.00018568337,0.27161366,0.2762085,0.0045948327
7,586,43619,6.0,115.0,109.0,1.0,1.0,0.0,0.016769808,0.016769808,-26.786469,-0.8765545,-0.0023558065,-0.02373721,-0.0020683333,-0.016522791,0.38247815,0.3208614,-0.06161675,-0.13333131,-0.08036993,0.052961387,-0.09715706,-0.06560354,0.03155352,-0.021482335,-0.010121546,0.01136079
7,587,43675,1.0,342.0,341.0,1.0,2.0,1.0,-0.0032470413,-0.0032470413,-31.904694,-0.998621,-0.0031387582,-0.047783274,-0.002844181,-0.04306425,0.14530843,0.035560697,-0.10974774,0.109768696,0.026559355,-0.08320934,0.13136372,0.04110035,-0.09026337,0.14328556,0.04374159,-0.09954397
7,588,43689,1.0,2.0,1.0,1.0,1.0,0.0,0.033160787,0.033160787,-12.820679,-0.036325455,-0.013482474,-0.0027977787,-0.011366859,-0.0015316047,0.37501583,0.3263835,-0.048632324,0.2549896,0.2843778,0.02938822,0.30245313,0.33554035,0.033087224,0.33798945,0.3605606,0.022571146
7,589,43746,10.0,236.0,226.0,12.0,9.0,-3.0,0.012137849,0.012137849,3.1308594,1.1676121,0.004739918,-0.0239526,0.0021954328,-0.019349243,0.32540402,0.31645036,-0.008953661,-0.118159324,0.027605562,0.14576489,-0.12232719,0.018731626,0.14105882,-0.05387075,0.062437583,0.11630833
7,590,43818,1.0,9.0,8.0,1.0,1.0,0.0,0.006560594,0.006560594,-23.56186,-0.6623688,-0.00062677264,-0.029172398,-0.003782604,-0.029992338,0.64500135,0.5279384,-0.11706293,0.5189929,0.51790494,-0.0010879636,0.53377736,0.5221862,-0.011591136,0.5698759,0.5449558,-0.024920106
