eval_index,nsd_image_id,predclip_image_rank_neighbor0,predclip_image_rank_neighbor_low,predclip_image_rank_delta_low_minus_zero,predclip_brain_rank_neighbor0,predclip_brain_rank_neighbor_low,predclip_brain_rank_delta_low_minus_zero,predclip_image_score_delta_low_minus_zero,predclip_brain_score_delta_low_minus_zero,blurry_pixcorr_neighbor0,blurry_pixcorr_neighbor_low,blurry_pixcorr_delta_low_minus_zero,recons_pixcorr_neighbor0,recons_pixcorr_neighbor_low,recons_pixcorr_delta_low_minus_zero,enhanced_pixcorr_neighbor0,enhanced_pixcorr_neighbor_low,enhanced_pixcorr_delta_low_minus_zero,enhanced_evalmix_pixcorr_neighbor0,enhanced_evalmix_pixcorr_neighbor_low,enhanced_evalmix_pixcorr_delta_low_minus_zero
149,12308,1.0,1.0,0.0,1.0,2.0,1.0,-0.0041284896,-0.0041284896,0.18383256,0.22320034,0.03936778,0.17148294,0.030652018,-0.14083092,0.17240699,0.012999972,-0.15940702,0.19170965,0.039964173,-0.15174548
150,12487,19.0,23.0,4.0,14.0,13.0,-1.0,-0.0019780416,-0.0019780416,0.37125236,0.31863043,-0.05262193,0.19599548,0.3948722,0.19887671,0.20243317,0.39978004,0.19734687,0.23645666,0.4051647,0.16870803
151,12495,3.0,8.0,5.0,1.0,1.0,0.0,-0.005417064,-0.005417064,0.26644856,0.25837612,-0.008072436,0.059519872,0.14529712,0.08577725,0.023940137,0.12296498,0.09902484,0.08194948,0.1606042,0.078654714
152,12634,1.0,1.0,0.0,1.0,1.0,0.0,-0.0019216314,-0.0019216314,0.1746934,0.24263401,0.06794061,0.25942346,0.37593722,0.11651376,0.2836651,0.40046132,0.116796225,0.29307973,0.4134782,0.12039846
153,12685,48.0,60.0,12.0,57.0,54.0,-3.0,-0.0025904886,-0.0025904886,-0.12219176,-0.18908417,-0.066892415,-0.27862713,-0.3292418,-0.050614685,-0.29361445,-0.33786234,-0.044247895,-0.29174477,-0.33535913,-0.043614358
154,12796,3.0,1.0,-2.0,1.0,1.0,0.0,0.0062958933,0.0062958933,0.085925184,0.023996625,-0.06192856,0.045493037,0.13373671,0.08824368,0.045870014,0.13257563,0.08670562,0.056198772,0.13099104,0.074792266
155,12798,20.0,8.0,-12.0,4.0,5.0,1.0,0.0011469051,0.0011469051,0.024870329,0.07083666,0.045966335,0.231943,0.22389574,-0.008047253,0.22583699,0.21805473,-0.0077822655,0.2258808,0.22007206,-0.005808741
156,12922,1.0,1.0,0.0,1.0,1.0,0.0,-0.00093302876,-0.00093302876,0.65915215,0.61241645,-0.046735704,0.5359237,0.48977152,-0.046152204,0.56903774,0.5061842,-0.062853515,0.6060261,0.54332805,-0.062698066
157,12937,1.0,1.0,0.0,1.0,1.0,0.0,-0.003752321,-0.003752321,0.460518,0.33848095,-0.12203705,0.43744677,0.17485163,-0.26259515,0.43036136,0.16019815,-0.2701632,0.45111713,0.18710321,-0.26401392
158,13138,1.0,1.0,0.0,1.0,1.0,0.0,-0.0069952123,-0.0069952123,0.33084255,0.22889623,-0.101946324,-0.0018130188,-0.13482428,-0.13301125,0.013728863,-0.13706377,-0.15079263,0.05993559,-0.081027985,-0.14096357
159,13230,1.0,1.0,0.0,1.0,1.0,0.0,0.0003235191,0.0003235191,0.3578227,0.31737274,-0.040449947,0.27992454,0.27447802,-0.0054465234,0.28619978,0.27477223,-0.0114275515,0.31087092,0.29658994,-0.014280975
160,13312,1.0,1.0,0.0,1.0,1.0,0.0,-0.0005496219,-0.0005496219,0.3149078,0.2819649,-0.03294289,0.26523665,0.20006965,-0.065166995,0.25269324,0.18292972,-0.06976351,0.2727313,0.20337653,-0.06935477
161,13314,1.0,1.0,0.0,1.0,1.0,0.0,-0.008560114,-0.008560114,0.2642177,0.41033226,0.14611456,-0.23451696,-0.24755065,-0.013033688,-0.24081081,-0.25948912,-0.018678308,-0.18797159,-0.20748991,-0.019518316
162,13613,1.0,1.0,0.0,1.0,1.0,0.0,-0.0020638779,-0.0020638779,0.3615244,0.3885535,0.027029097,0.42485473,0.46630657,0.04145184,0.4305637,0.46049044,0.029926747,0.44801846,0.4872256,0.03920713
163,13653,1.0,1.0,0.0,9.0,7.0,-2.0,0.0006460361,0.0006460361,0.31440994,0.3050271,-0.009382844,0.11856443,-0.009361765,-0.12792619,0.13901174,0.018177409,-0.120834336,0.178585,0.05501585,-0.123569146
164,13662,83.0,120.0,37.0,5.0,6.0,1.0,-0.005309405,-0.005309405,-0.15277325,-0.08761725,0.065156,-0.26950297,-0.24992003,0.019582942,-0.27018487,-0.25029516,0.019889712,-0.27497375,-0.2507951,0.024178654
165,13720,4.0,3.0,-1.0,8.0,11.0,3.0,-0.004023712,-0.004023712,0.40158474,0.35917124,-0.042413503,0.21727762,0.05941341,-0.15786421,0.2573721,0.07427681,-0.1830953,0.28948858,0.11600291,-0.17348567
166,13846,1.0,1.0,0.0,1.0,1.0,0.0,-0.00413052,-0.00413052,0.76059246,0.74497753,-0.015614927,0.66007376,0.6994973,0.039423525,0.6679805,0.7024239,0.03444338,0.7069132,0.7344672,0.027554035
167,14110,1.0,1.0,0.0,3.0,1.0,-2.0,0.0010121651,0.0010121651,0.24659239,0.21571353,-0.030878857,0.1800034,0.17559242,-0.004410982,0.1876464,0.18470308,-0.002943322,0.2065141,0.1940774,-0.012436703
168,14121,1.0,3.0,2.0,1.0,2.0,1.0,-0.005626194,-0.005626194,0.25729313,0.27401507,0.016721934,0.16429095,0.05937886,-0.10491209,0.14807421,0.04806067,-0.10001354,0.20214789,0.09980566,-0.102342226
169,14165,27.0,4.0,-23.0,27.0,30.0,3.0,0.0052479804,0.0052479804,-0.34612295,-0.24292573,0.10319722,-0.24910687,-0.2752614,-0.026154533,-0.24468394,-0.27282083,-0.028136894,-0.2864863,-0.2850683,0.0014179945
170,14179,7.0,8.0,1.0,13.0,10.0,-3.0,0.0010993239,0.0010993239,0.15374409,0.0912355,-0.06250858,-0.15261269,-0.007755944,0.14485674,-0.17443153,-0.01924817,0.15518336,-0.15705863,-0.0101338,0.14692482
171,14443,8.0,2.0,-6.0,5.0,3.0,-2.0,0.001557637,0.001557637,0.14239965,0.08387776,-0.058521897,-0.23091054,-0.25667244,-0.025761902,-0.24574548,-0.2624387,-0.016693234,-0.20729646,-0.22644548,-0.01914902
172,14528,2.0,3.0,1.0,27.0,45.0,18.0,-0.007681966,-0.007681966,0.058845986,0.06634776,0.0075017773,-0.18076843,-0.026364408,0.15440401,-0.19384047,-0.03641761,0.15742287,-0.18232095,-0.02649083,0.15583012
173,14567,1.0,3.0,2.0,1.0,1.0,0.0,0.0018421151,0.0018421151,-0.062403567,0.018585052,0.080988616,0.11916587,0.15439504,0.035229176,0.14146477,0.17753991,0.036075145,0.13087885,0.1753242,0.04444535
174,14594,1.0,1.0,0.0,1.0,1.0,0.0,-0.0015439726,-0.0015439726,0.40571737,0.21006513,-0.19565225,0.11396192,0.07306335,-0.04089857,0.14630853,0.076817885,-0.06949064,0.2172944,0.104585506,-0.11270889
175,14610,1.0,1.0,0.0,5.0,6.0,1.0,-0.006499864,-0.006499864,0.42240107,0.44867682,0.026275754,0.5316885,0.4823086,-0.049379915,0.5400723,0.5063604,-0.03371191,0.5585116,0.531992,-0.026519597
176,14644,1.0,3.0,2.0,1.0,1.0,0.0,-0.008526042,-0.008526042,0.061764218,0.05804246,-0.0037217587,-0.09887554,0.037844863,0.1367204,-0.100747235,0.03391697,0.13466421,-0.08475675,0.041052684,0.12580943
177,14793,2.0,3.0,1.0,1.0,1.0,0.0,-0.002769146,-0.002769146,0.2399669,0.310372,0.070405096,0.25956193,-0.052699536,-0.31226146,0.25056228,-0.06736328,-0.31792557,0.26500455,-0.0141579835,-0.27916253
178,14808,1.0,2.0,1.0,1.0,1.0,0.0,-0.009072151,-0.009072151,0.1009799,0.00073669734,-0.1002432,0.089783095,0.05344056,-0.036342535,0.08969471,0.047446128,-0.04224858,0.10340783,0.045127787,-0.058280043
179,14820,118.0,108.0,-10.0,26.0,18.0,-8.0,0.004252456,0.004252456,0.65339184,0.7165915,0.06319964,0.4492697,0.53780544,0.088535726,0.4590092,0.5556319,0.096622676,0.5071454,0.5990803,0.09193492
180,14898,99.0,95.0,-4.0,50.0,55.0,5.0,-0.0005871635,-0.0005871635,-0.019697769,-0.043911275,-0.024213506,-0.021646261,0.120956995,0.14260325,0.014508529,0.14949434,0.1349858,0.012683534,0.14813107,0.13544753
181,14931,2.0,3.0,1.0,1.0,1.0,0.0,-0.004291583,-0.004291583,0.7876962,0.76439714,-0.023299038,0.5597651,0.5116836,-0.048081517,0.5606298,0.5230648,-0.037564993,0.62299764,0.57323205,-0.049765587
182,15003,1.0,1.0,0.0,2.0,2.0,0.0,-0.0056517534,-0.0056517534,0.27949297,0.2813323,0.0018393397,0.13557667,0.2621208,0.12654415,0.14078298,0.26985613,0.12907314,0.16383898,0.29293215,0.12909317
183,15025,1.0,1.0,0.0,2.0,2.0,0.0,-0.00038628653,-0.00038628653,0.562173,0.4998802,-0.062292814,0.39415818,0.34883404,-0.045324147,0.41206163,0.35665724,-0.055404395,0.46777943,0.3979946,-0.06978482
184,15128,3.0,3.0,0.0,1.0,1.0,0.0,-0.001736965,-0.001736965,0.3675593,0.37878102,0.011221707,0.14172745,0.2731569,0.13142946,0.14438644,0.28070334,0.1363169,0.19735987,0.31431186,0.11695199
185,15364,1.0,1.0,0.0,2.0,1.0,-1.0,-0.002264846,-0.002264846,0.6512999,0.27556732,-0.37573257,-0.28384343,-0.3369486,-0.053105175,-0.28015473,-0.32272452,-0.042569786,-0.21383114,-0.2983738,-0.08454265
186,15492,16.0,24.0,8.0,2.0,5.0,3.0,-0.0023487695,-0.0023487695,0.24069333,0.1639606,-0.076732725,-0.17492087,0.024452822,0.19937369,-0.19411868,0.052917406,0.24703608,-0.16385935,0.083577074,0.24743643
187,15506,1.0,1.0,0.0,2.0,2.0,0.0,-0.00901119,-0.00901119,0.13985392,0.021326363,-0.11852756,0.0144056985,0.12533374,0.11092804,0.036557827,0.122126564,0.08556874,0.050237656,0.12072177,0.07048412
188,15793,1.0,1.0,0.0,7.0,4.0,-3.0,0.0011069998,0.0011069998,0.45146468,0.511491,0.060026318,0.45187885,0.47733834,0.025459498,0.4687764,0.48987556,0.02109915,0.48033828,0.5036333,0.023295045
189,15819,1.0,2.0,1.0,1.0,4.0,3.0,-0.008762158,-0.008762158,0.082792,0.10596077,0.023168772,-0.010006145,0.027709045,0.03771519,-0.03262268,-0.0051375963,0.027485084,-0.01944891,0.00790079,0.0273497
190,15939,1.0,1.0,0.0,1.0,1.0,0.0,-0.006658513,-0.006658513,-0.1947038,-0.21913679,-0.024432987,-0.1989509,-0.41308203,-0.21413113,-0.23448248,-0.4414189,-0.2069364,-0.24974197,-0.4450876,-0.19534564
191,16063,1.0,1.0,0.0,1.0,1.0,0.0,-0.0043778904,-0.0043778904,-0.159783,-0.17876337,-0.018980369,0.06438582,0.5925667,0.5281809,0.09093378,0.61881024,0.52787644,0.05987166,0.5959092,0.5360375
192,16252,15.0,13.0,-2.0,14.0,11.0,-3.0,-0.0024260804,-0.0024260804,0.22995847,0.2260045,-0.0039539784,0.035273597,0.014166624,-0.021106973,0.040219218,0.019371046,-0.020848172,0.06523688,0.043823928,-0.021412954
193,16344,49.0,155.0,106.0,2.0,3.0,1.0,-0.006811766,-0.006811766,0.40579447,0.3710329,-0.034761578,0.37076953,0.14498606,-0.22578347,0.3973251,0.16303745,-0.23428765,0.40937725,0.1992073,-0.21016994
194,16421,12.0,11.0,-1.0,3.0,3.0,0.0,-0.002090767,-0.002090767,-0.15178233,-0.015008041,0.13677429,-0.21576424,-0.06397005,0.1517942,-0.15761685,-0.034497425,0.12311943,-0.17124271,-0.035751548,0.13549116
195,16466,1.0,1.0,0.0,1.0,1.0,0.0,-0.0049201287,-0.0049201287,0.15765604,0.14870577,-0.008950278,-0.08543577,-0.056223936,0.029211834,-0.086360686,-0.06138502,0.024975665,-0.07095414,-0.04515898,0.025795158
196,16616,1.0,1.0,0.0,1.0,1.0,0.0,-0.0040014535,-0.0040014535,0.5349744,0.47630006,-0.058674335,0.16338316,0.22868963,0.06530647,0.16374722,0.22626278,0.06251556,0.22254637,0.26654232,0.043995947
197,16635,4.0,15.0,11.0,1.0,2.0,1.0,-0.010496203,-0.010496203,-0.012571464,0.032050777,0.044622242,-0.11415373,-0.09538371,0.018770017,-0.12312176,-0.10530926,0.017812498,-0.11573179,-0.09507872,0.020653069
198,16655,6.0,3.0,-3.0,2.0,1.0,-1.0,0.0071115494,0.0071115494,-0.23909585,-0.15807204,0.08102381,0.0815169,-0.0011293645,-0.082646266,0.076859705,-0.013763888,-0.090623595,0.023653526,-0.044307567,-0.0679611
199,16702,2.0,3.0,1.0,2.0,2.0,0.0,-0.008527607,-0.008527607,0.52282006,0.5225472,-0.00027287006,0.34098107,0.42636234,0.08538127,0.35608202,0.42422223,0.06814021,0.3940334,0.45314708,0.05911368
200,16723,1.0,1.0,0.0,1.0,1.0,0.0,-0.0026569664,-0.0026569664,0.76676476,0.76104134,-0.005723417,0.6460707,0.717493,0.07142228,0.66211236,0.7212096,0.05909723,0.70331883,0.75282305,0.04950422
201,16823,3.0,3.0,0.0,1.0,1.0,0.0,0.0011247434,0.0011247434,0.047510896,0.03833312,-0.009177774,-0.03741749,-0.012049689,0.0253678,-0.037523538,-0.020413311,0.017110227,-0.027257252,-0.013954415,0.0133028375
202,16841,1.0,1.0,0.0,1.0,1.0,0.0,-0.0025526024,-0.0025526024,0.49187604,0.46237868,-0.029497355,0.41215476,0.45454517,0.042390406,0.41754994,0.45335478,0.035804838,0.4455849,0.46447906,0.018894166
203,16865,1.0,1.0,0.0,1.0,1.0,0.0,-0.0014176257,-0.0014176257,0.6449227,0.662359,0.017436326,0.5665529,0.4346982,-0.13185468,0.57238674,0.4265447,-0.14584205,0.60644996,0.4934834,-0.11296657
204,16868,5.0,6.0,1.0,1.0,1.0,0.0,-0.005386904,-0.005386904,-0.042457275,-0.10311087,-0.060653597,-0.015316541,-0.03643201,-0.021115467,0.025258254,-0.030022841,-0.055281095,0.016520116,-0.040547643,-0.05706776
